Pop	Block	flwsize	FlwDate	height	InflorLen	flowers	aborted	fruits	fitness	openflws	tscent
TH	9	7.29	167	65	7	32	1	31	124.25	6	49.3477
WF	8	6.51	166	85	21	74	2	72	385.19	17	50.9847
TH	27	8.22	166	68	8	51	11	40	191.82	15	48.5287
TH	15	7.29	167	32	4	16	5	11	51.93	4	6.5091
TH	14	7.06	166	54	9.5	29	13	16	95.39	7	6.691
TH	19	6.91	166	73	11	43	14	29	119.9	5	17.3357
WF	4	6.44	173	61.5	11	41	5	36	159.56	2	11.8198
NR	15	7.19	169	55	5	18	9	9	43.03	3	8.9364
NR	25	6.69	169	58	10.5	31	3	28	139.83	11	25.7826
TH	29	6.91	171	58	11.5	20	9	11	50.23	3	4.0339
WF	17	6.39	166	48	5	16	4	12	38.58	6	1.8497
WF	11	7.06	173	57	12.5	26	8	18	65.96	1	2.5371
NR	9	7.07	169	54	5	12	0	12	58.73	2	2.5078
TH	6	7.49	166	59	6.5	23	11	12	62.55	3	10.185
TH	24	7.35	169	54	6.5	16	3	13	71.21	3	8.7145
NR	8	6.71	169	47	11	32	1	31	137.05	9	6.726
WF	25	6.03	171	44	55	24	6	18	57.56	3	2.4042
TH	8	7.82	169	63.5	8.5	14	3	11	51.65	5	1.0641
TH	18	7.26	169	72	9	26	8	18	82.48	8	6.5274
TH	12	7.66	171	49	7	19	9	10	42.96	2	0.7415
NR	33	6.76	169	44	10.5	29	16	13	59.53	4	8.6358
WF	21	6.53	166	75	11	46	19	27	109.78	8	10.8122
NR	20	6.57	166	61	14	47	4	43	165.44	10	6.9831
WF	27	5.9	171	64.5	5.5	21	13	8	28.15	3	1.5282
NR	18	6.19	171	62	8	26	10	16	71.81	6.5	8.3557
NR	16	7.22	169	66	11.5	42	22	20	83.98	3	3.4442
NR	24	6.99	171	52	8	19	7	12	48.52	6	7.9674
WF	28	6.45	171	53	11	36	12	24	100.88	4	1.6418
WF	10	6.12	169	50	8	28	0	28	105.02	7	1.2736
WF	18	6.83	169	50	13	36	5	31	121.21	8.5	2.0737
WF	20	6.95	169	66	8	28	4	24	92.77	6	2.8286
NR	14	6.88	169	69	11	34	5	29	141.23	6.5	11.7457
WF	13	6.34	169	73	14.5	101	42	59	269.35	5	5.2417
NR	30	6.51	169	77	19	35	18	17	53.3	6	20.2014
NR	23	6.77	169	59	7	28	9	19	81.5	6	13.1416
NR	34	7.1	166	50	11	16	1	15	66.38	7	5.3152
NR	12	6.95	166	66	11.5	41	4	37	198.83	7	10.8029
TH	31	7.14	166	75	6	19	9	10	47.27	2	6.2824
NR	1	6.74	166	60	10	39	10	29	140.73	10	13.4185
NR	28	7.25	169	68	14.5	38	13	25	89.39	4	6.1009
